code,name,流通市值,市盈率,昨收,昨高,昨低,涨停次数,连板次数,industry,industry_sub,可能退市,营业收入,净利润,融资融券,zhuan,债券代码
603918,金桥信息,4713362417.0,-43.92,11.38,11.59,11.14,29.0,7.0,IT服务,IT服务,0,9.3202154801,24871187.62,0.0,,
002401,中远海科,6386090346.0,28.68,16.69,16.96,16.08,20.0,7.0,IT服务,IT服务,0,17.7569041511,188790233.54,0.0,,
002421,达实智能,6089978815.0,346.25,2.83,2.88,2.76,3.0,1.0,IT服务,IT服务,0,38.3310948666,207539109.29,0.0,,
603138,海量数据,4419456214.0,-95.28,14.71,14.93,14.12,9.0,1.0,IT服务,IT服务,1,2.6183211903,-68525505.71,1.0,,
002609,捷顺科技,3927917803.0,162.58,8.07,8.2,7.97,10.0,2.0,IT服务,IT服务,0,16.4475969442,124595194.14,0.0,,
600131,国网信通,21987321182.0,47.6,18.03,18.15,17.38,1.0,0.0,IT服务,IT服务,0,76.7331945628,828251035.71,1.0,,
603636,南威软件,6134410728.0,-26.72,9.74,9.89,9.5,10.0,2.0,IT服务,IT服务,0,16.7731625562,151955330.64,1.0,,
000555,神州信息,11249392836.0,-73.76,11.1,11.52,10.59,6.0,2.0,IT服务,IT服务,0,120.5622967883,206442224.23,0.0,,
002657,中科金财,5438975057.0,-55.72,14.91,15.17,14.52,15.0,5.0,IT服务,IT服务,1,10.0187722066,-108330643.15,0.0,,
002331,皖通科技,3016387752.0,-212.85,7.31,7.42,7.2,13.0,3.0,IT服务,IT服务,1,10.1319471779,-70311761.89,0.0,,
002771,真视通,3779987427.0,-163.62,19.72,20.1,19.25,34.0,11.0,IT服务,IT服务,0,4.4695843282,8522672.69,0.0,,
003005,竞业达,1980619630.0,-144.61,24.9,25.3,24.2,24.0,3.0,IT服务,IT服务,0,4.1047955966,49684275.61,0.0,,
600845,宝信软件,68110262197.0,34.8,27.78,28.21,27.5,1.0,0.0,IT服务,IT服务,0,129.1564141144,2611181362.39,1.0,,
